tensor,shape,numel,module_group,module_family,contains_lora_or_adapter_marker
blocks.4.attn1.to_q.bias,1536,1536,blocks.4,attention_q,False
blocks.4.attn1.to_q.weight,1536x1536,2359296,blocks.4,attention_q,False
blocks.4.attn1.to_v.bias,1536,1536,blocks.4,attention_v,False
blocks.4.attn1.to_v.weight,1536x1536,2359296,blocks.4,attention_v,False
blocks.4.ffn.net.0.proj.bias,8960,8960,blocks.4,mlp,False
blocks.4.ffn.net.0.proj.weight,8960x1536,13762560,blocks.4,mlp,False
blocks.4.ffn.net.2.bias,1536,1536,blocks.4,mlp,False
blocks.4.ffn.net.2.weight,1536x8960,13762560,blocks.4,mlp,False
blocks.4.scale_shift_table,1x6x1536,9216,blocks.4,other,False
blocks.5.attn1.norm_k.weight,1536,1536,blocks.5,attention_other,False
blocks.5.attn1.norm_q.weight,1536,1536,blocks.5,attention_other,False
blocks.5.attn1.to_k.bias,1536,1536,blocks.5,attention_k,False
blocks.5.attn1.to_k.weight,1536x1536,2359296,blocks.5,attention_k,False
blocks.5.attn1.to_out.0.bias,1536,1536,blocks.5,attention_out,False
blocks.5.attn1.to_out.0.weight,1536x1536,2359296,blocks.5,attention_out,False
blocks.5.attn1.to_q.bias,1536,1536,blocks.5,attention_q,False
blocks.5.attn1.to_q.weight,1536x1536,2359296,blocks.5,attention_q,False
blocks.5.attn1.to_v.bias,1536,1536,blocks.5,attention_v,False
blocks.5.attn1.to_v.weight,1536x1536,2359296,blocks.5,attention_v,False
blocks.5.ffn.net.0.proj.bias,8960,8960,blocks.5,mlp,False
blocks.5.ffn.net.0.proj.weight,8960x1536,13762560,blocks.5,mlp,False
blocks.5.ffn.net.2.bias,1536,1536,blocks.5,mlp,False
blocks.5.ffn.net.2.weight,1536x8960,13762560,blocks.5,mlp,False
blocks.5.scale_shift_table,1x6x1536,9216,blocks.5,other,False
blocks.6.attn1.norm_k.weight,1536,1536,blocks.6,attention_other,False
blocks.6.attn1.norm_q.weight,1536,1536,blocks.6,attention_other,False
blocks.6.attn1.to_k.bias,1536,1536,blocks.6,attention_k,False
blocks.6.attn1.to_k.weight,1536x1536,2359296,blocks.6,attention_k,False
blocks.6.attn1.to_out.0.bias,1536,1536,blocks.6,attention_out,False
blocks.6.attn1.to_out.0.weight,1536x1536,2359296,blocks.6,attention_out,False
blocks.6.attn1.to_q.bias,1536,1536,blocks.6,attention_q,False
blocks.6.attn1.to_q.weight,1536x1536,2359296,blocks.6,attention_q,False
blocks.6.attn1.to_v.bias,1536,1536,blocks.6,attention_v,False
blocks.6.attn1.to_v.weight,1536x1536,2359296,blocks.6,attention_v,False
blocks.6.ffn.net.0.proj.bias,8960,8960,blocks.6,mlp,False
blocks.6.ffn.net.0.proj.weight,8960x1536,13762560,blocks.6,mlp,False
blocks.6.ffn.net.2.bias,1536,1536,blocks.6,mlp,False
blocks.6.ffn.net.2.weight,1536x8960,13762560,blocks.6,mlp,False
blocks.6.scale_shift_table,1x6x1536,9216,blocks.6,other,False
blocks.7.attn1.norm_k.weight,1536,1536,blocks.7,attention_other,False
blocks.7.attn1.norm_q.weight,1536,1536,blocks.7,attention_other,False
blocks.7.attn1.to_k.bias,1536,1536,blocks.7,attention_k,False
blocks.7.attn1.to_k.weight,1536x1536,2359296,blocks.7,attention_k,False
blocks.7.attn1.to_out.0.bias,1536,1536,blocks.7,attention_out,False
blocks.7.attn1.to_out.0.weight,1536x1536,2359296,blocks.7,attention_out,False
blocks.7.attn1.to_q.bias,1536,1536,blocks.7,attention_q,False
blocks.7.attn1.to_q.weight,1536x1536,2359296,blocks.7,attention_q,False
blocks.7.attn1.to_v.bias,1536,1536,blocks.7,attention_v,False
blocks.7.attn1.to_v.weight,1536x1536,2359296,blocks.7,attention_v,False
blocks.7.ffn.net.0.proj.bias,8960,8960,blocks.7,mlp,False
blocks.7.ffn.net.0.proj.weight,8960x1536,13762560,blocks.7,mlp,False
blocks.7.ffn.net.2.bias,1536,1536,blocks.7,mlp,False
blocks.7.ffn.net.2.weight,1536x8960,13762560,blocks.7,mlp,False
blocks.7.scale_shift_table,1x6x1536,9216,blocks.7,other,False
blocks.8.attn1.norm_k.weight,1536,1536,blocks.8,attention_other,False
blocks.8.attn1.norm_q.weight,1536,1536,blocks.8,attention_other,False
blocks.8.attn1.to_k.bias,1536,1536,blocks.8,attention_k,False
blocks.8.attn1.to_k.weight,1536x1536,2359296,blocks.8,attention_k,False
blocks.8.attn1.to_out.0.bias,1536,1536,blocks.8,attention_out,False
blocks.8.attn1.to_out.0.weight,1536x1536,2359296,blocks.8,attention_out,False
blocks.8.attn1.to_q.bias,1536,1536,blocks.8,attention_q,False
blocks.8.attn1.to_q.weight,1536x1536,2359296,blocks.8,attention_q,False
blocks.8.attn1.to_v.bias,1536,1536,blocks.8,attention_v,False
blocks.8.attn1.to_v.weight,1536x1536,2359296,blocks.8,attention_v,False
blocks.8.ffn.net.0.proj.bias,8960,8960,blocks.8,mlp,False
blocks.8.ffn.net.0.proj.weight,8960x1536,13762560,blocks.8,mlp,False
blocks.8.ffn.net.2.bias,1536,1536,blocks.8,mlp,False
blocks.8.ffn.net.2.weight,1536x8960,13762560,blocks.8,mlp,False
blocks.8.scale_shift_table,1x6x1536,9216,blocks.8,other,False
blocks.9.attn1.norm_k.weight,1536,1536,blocks.9,attention_other,False
blocks.9.attn1.norm_q.weight,1536,1536,blocks.9,attention_other,False
blocks.9.attn1.to_k.bias,1536,1536,blocks.9,attention_k,False
blocks.9.attn1.to_k.weight,1536x1536,2359296,blocks.9,attention_k,False
blocks.9.attn1.to_out.0.bias,1536,1536,blocks.9,attention_out,False
blocks.9.attn1.to_out.0.weight,1536x1536,2359296,blocks.9,attention_out,False
blocks.9.attn1.to_q.bias,1536,1536,blocks.9,attention_q,False
blocks.9.attn1.to_q.weight,1536x1536,2359296,blocks.9,attention_q,False
blocks.9.attn1.to_v.bias,1536,1536,blocks.9,attention_v,False
blocks.9.attn1.to_v.weight,1536x1536,2359296,blocks.9,attention_v,False
blocks.9.ffn.net.0.proj.bias,8960,8960,blocks.9,mlp,False
blocks.9.ffn.net.0.proj.weight,8960x1536,13762560,blocks.9,mlp,False
blocks.9.ffn.net.2.bias,1536,1536,blocks.9,mlp,False
blocks.9.ffn.net.2.weight,1536x8960,13762560,blocks.9,mlp,False
blocks.9.scale_shift_table,1x6x1536,9216,blocks.9,other,False
condition_embedder.time_embedder.linear_1.bias,1536,1536,condition_embedder.time_embedder,embedding_or_positional,False
condition_embedder.time_embedder.linear_1.weight,1536x256,393216,condition_embedder.time_embedder,embedding_or_positional,False
condition_embedder.time_embedder.linear_2.bias,1536,1536,condition_embedder.time_embedder,embedding_or_positional,False
condition_embedder.time_embedder.linear_2.weight,1536x1536,2359296,condition_embedder.time_embedder,embedding_or_positional,False
condition_embedder.time_proj.bias,9216,9216,condition_embedder.time_proj,embedding_or_positional,False
condition_embedder.time_proj.weight,9216x1536,14155776,condition_embedder.time_proj,embedding_or_positional,False
patch_embedding.bias,1536,1536,patch_embedding.bias,embedding_or_positional,False
patch_embedding.weight,1536x48x1x2x2,294912,patch_embedding.weight,embedding_or_positional,False
proj_out.bias,64,64,proj_out.bias,projection_other,False
proj_out.weight,64x1536,98304,proj_out.weight,projection_other,False
scale_shift_table,1x2x1536,3072,scale_shift_table,other,False
